artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),type
['Woody Herman'],[958076],0.491,0.489,0.782,185.932,-7.301,1,1,0.87,0.159,0.186,0.0482,0,188493,1,1932,1932,Woodchopper's Ball,Jazz
['Woody Herman'],[958076],0.739,0.378,0.519,127.248,-11.838,1,1,0.542,0.0127,0.975,0.0433,0,338493,9,1945,1945,Greasy Sack *****,Jazz
['Woody Herman'],[958076],0.421,0.658,0.698,79.252,-12.068,0,0,0.385,0.000549,0.0919,0.0697,0,205600,7,1945,1945,My Favorite Things,Jazz
['Woody Herman'],[958076],0.495,0.75,0.699,133.865,-10.86,0,2,0.414,0.748,0.403,0.146,0,206440,3,1945,1945,** Red,Jazz
['Woody Herman'],[958076],0.527,0.673,0.766,131.298,-8.254,1,8,0.621,0.0399,0.0772,0.0432,0,189800,5,1945,1945,Northwest *******,Jazz
['Woody Herman'],[958076],0.323,0.156,0.0964,87.87,-14.084,1,3,0.958,2.18e-05,0.321,0.0319,0,196627,5,1945,1945,LAURA,Jazz
['Woody Herman'],[958076],0.362,0.819,0.444,160.051,-9.28,1,8,0.296,0.116,0.343,0.105,0,310640,0,1945,1945,Northwest ******* - Live,Jazz
['Woody Herman'],[958076],0.549,0.68,0.597,133.638,-9.535,1,3,0.731,0.17,0.465,0.0731,0,186600,0,1945,1945,NORTHWEST *******,Jazz
['Woody Herman'],[958076],0.622,0.54,0.85,111.111,-9.469,1,8,0.718,3.4e-06,0.209,0.0445,0,191840,1,1945,1945,Four Brothers,Jazz
['Woody Herman'],[958076],0.474,0.427,0.82,185.959,-10.42,1,1,0.86,0.244,0.247,0.0452,0,188693,4,1945,1945,Woodchopper's Ball,Jazz
['Woody Herman'],[958076],0.344,0.125,0.13,92.282,-15.585,1,7,0.965,6.57e-06,0.497,0.032,0,202333,0,1945,1945,HAPPINESS IS A THING ****** JOE,Jazz
['Dick Hyman'],[211424],0.348,0.659,0.386,126.428,-8.235,0,5,0.687,0.916,0.128,0.0453,0,139004,7,1960,9/6/1960,Caravan,Jazz
['Dick Hyman'],[211424],0.287,0.127,0.215,85.558,-18.183,1,9,0.944,0.433,0.423,0.0383,0,267640,45,1988,1/1/1988,Musetta's Waltz,Jazz
['Fats Navarro'],[792175],0.729,0.273,0.758,78.745,-10.476,1,7,0.908,0.000687,0.0783,0.0772,0,165418,7,1958,1/1/1958,Nostalgia,Jazz
['Fats Navarro'],[792175],0.762,0.44,0.784,122.605,-8.435,1,5,0.891,0.682,0.107,0.179,0,171919,5,1958,1/1/1958,**** *****,Jazz
['Fats Navarro'],[792175],0.348,0.467,0.717,176.542,-9.094,1,0,0.811,0.000321,0.0463,0.0395,0,171123,27,1951,1/1/1951,Lady Bird,Jazz
['Fats Navarro'],[792175],0.427,0.566,0.861,77.832,-10.309,1,7,0.823,0.226,0.443,0.0911,0,171465,6,1951,1/1/1951,**** Street Theme,Jazz
['Woody Shaw'],[680003],0.478,0.33,0.455,113.902,-13.283,1,5,0.655,0.847,0.177,0.036,0,435573,36,1978,1978,Theme for ******,Jazz
['Toots Thielemans'],[159791],0.622,0.196,0.603,103.962,-17.824,1,0,0.965,0.859,0.303,0.0669,0,132145,3,1955,1955,********* For Two,Jazz
['Toots Thielemans'],[159791],0.515,0.198,0.38,70.081,-17.685,0,5,0.937,0.793,0.282,0.0912,0,191622,3,1955,1955,Stars Fell On Alabama,Jazz
['Toots Thielemans'],[159791],0.653,0.149,0.149,114.293,-17.14,1,0,0.788,0.00104,0.18,0.0914,0,147520,10,1958,1/1/1958,Don't Blame Me,Jazz
['Toots Thielemans'],[159791],0.717,0.166,0.726,134.051,-16.762,1,8,0.915,0.613,0.132,0.235,0,121244,4,1955,1955,Skylark,Jazz
['Toots Thielemans'],[159791],0.556,0.299,0.533,101.425,-17.08,1,0,0.874,0.863,0.0999,0.0571,0,275946,2,1955,1955,Don't Be That Way,Jazz
['Toots Thielemans'],[159791],0.715,0.406,0.65,104.756,-17.926,0,4,0.735,0.649,0.11,0.0573,0,216360,52,1993,1993,Samba de Orfeu,Jazz
['Toots Thielemans'],[159791],0.297,0.357,0.198,96.091,-12.2,1,5,0.467,0.0961,0.109,0.0289,0,168973,42,1985,1/1/1985,Theme from ********* *******,Jazz
['Jacky Terrasson'],[130686],0.364,0.119,0.0758,77.275,-22.669,0,5,0.176,0.694,0.218,0.0453,0,245067,43,2002,1/1/2002,Sous Le Ciel De Paris,Jazz
['Shelly Manne'],[19435],0.368,0.204,0.336,77.999,-18.158,0,5,0.852,0.252,0.107,0.0352,0,333173,7,1962,1962,Slowly,Jazz
['Jackie McLean'],[127949],0.578,0.419,0.596,97.308,-13.796,0,5,0.876,0.00137,0.268,0.0499,0,311067,9,1960,3/28/1960,I Love You - Remastered,Jazz
['Marian McPartland'],[824866],0.451,0.0441,0.311,74.195,-31.786,0,6,0.953,0.851,0.0835,0.0406,0,196718,10,1960,8/12/1960,*********,Jazz
['Marian McPartland'],[824866],0.512,0.194,0.367,135.031,-18.325,1,0,0.796,0.788,0.187,0.0383,0,131560,30,1972,1/1/1972,Piano ********,Jazz
['Marian McPartland'],[824866],0.433,0.0177,0.102,135.273,-32.226,1,8,0.994,0.919,0.115,0.0341,0,187480,10,1960,8/12/1960,Maria,Jazz
['Marian McPartland'],[824866],0.441,0.0714,0.237,80.001,-31.168,1,1,0.931,0.832,0.111,0.078,0,202013,9,1960,8/12/1960,A Little Bit In Love,Jazz
['Marian McPartland'],[824866],0.419,0.515,0.817,93.715,-14.401,0,5,0.569,0.815,0.0575,0.0423,0,380761,9,1962,9/21/1962,Love For Sale,Jazz
['Marian McPartland'],[824866],0.48,0.152,0.143,75.232,-16.67,1,2,0.988,0.92,0.147,0.0458,0,170307,23,1953,1/1/1953,Love Is Here To Stay,Jazz
['Marian McPartland'],[824866],0.416,0.21,0.53,81.154,-19.26,1,8,0.991,0.95,0.0937,0.0375,0,164267,20,1953,1/1/1953,All The Things You Are,Jazz
['Marian McPartland'],[824866],0.696,0.0718,0.32,67.634,-19.834,1,6,0.979,0.946,0.0986,0.0519,0,184667,15,1953,1/1/1953,Moonlight In Vermont,Jazz
['Marian McPartland'],[824866],0.517,0.389,0.862,155.48,-13.346,1,3,0.953,0.93,0.101,0.0323,0,166933,12,1953,1/1/1953,Strike Up The Band,Jazz
['Marian McPartland'],[824866],0.463,0.183,0.238,80.578,-16.261,1,7,0.988,0.928,0.0897,0.0451,0,198333,10,1953,1/1/1953,It Might As Well Be Spring,Jazz
['Marian McPartland'],[824866],0.557,0.33,0.617,95.294,-13.188,1,3,0.977,0.908,0.172,0.029,0,181027,4,1953,1/1/1953,Gypsy In My Soul,Jazz
['Marian McPartland'],[824866],0.331,0.223,0.19,168.3,-19.927,1,8,0.988,0.936,0.0907,0.0455,0,174667,4,1953,1/1/1953,**********,Jazz
['Marian McPartland'],[824866],0.476,0.18,0.55,171.377,-19.364,0,5,0.984,0.937,0.105,0.042,0,150933,4,1953,1/1/1953,Love For Sale,Jazz
['Yellowjackets'],[684612],0.689,0.422,0.821,95.732,-12.474,1,0,0.112,0.85,0.121,0.0304,0,277560,32,1983,4/20/1983,Man in the Moon,Jazz
['Yellowjackets'],[684612],0.708,0.693,0.962,94.277,-14.353,1,11,0.122,0.85,0.0562,0.0564,0,370667,31,1983,4/20/1983,Top Secret,Jazz
['Yellowjackets'],[684612],0.531,0.625,0.814,127.822,-13.603,1,8,0.0267,0.726,0.212,0.0354,0,329627,29,1981,6/10/1981,Imperial Strut,Jazz
['Yellowjackets'],[684612],0.61,0.647,0.889,108.528,-15.759,1,0,0.175,0.926,0.0421,0.0378,0,312373,41,1981,6/10/1981,Matinee Idol,Jazz
['Acker Bilk'],[926115],0.356,0.148,0.353,98.264,-19.196,1,10,0.819,0.861,0.0978,0.0338,0,162648,34,1967,7/3/1967,Ramblin' Rose,Jazz
['Acker Bilk'],[926115],0.251,0.0934,0.176,91.95,-17.204,1,10,0.879,0.871,0.11,0.0407,0,169106,35,1967,7/3/1967,Stranger on the *****,Jazz
['Acker Bilk'],[926115],0.257,0.311,0.211,142.385,-13.248,1,3,0.789,0.781,0.0778,0.0334,0,201960,51,1997,7/14/1997,Stranger on the *****,Jazz
['Ahmad Jamal'],[127369],0.701,0.282,0.867,92.907,-18.049,0,2,0.889,0.948,0.192,0.0281,0,284173,13,1960,1/7/1960,Raincheck,Jazz
['Ahmad Jamal'],[127369],0.642,0.336,0.844,87.671,-15.816,1,8,0.826,0.764,0.39,0.0425,0,160520,13,1960,1/7/1960,Rhumba No. *,Jazz
['Ahmad Jamal'],[127369],0.588,0.377,0.636,96.647,-20.159,0,9,0.363,0.845,0.139,0.0348,0,438440,31,1985,7/17/1985,One,Jazz
['Ahmad Jamal'],[127369],0.535,0.175,0.236,107.33,-24.733,1,7,0.63,0.785,0.933,0.0376,0,305347,9,1961,2/16/1961,We Kiss In A Shadow - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.732,0.145,0.17,119.212,-20.103,1,0,0.0873,0.371,0.693,0.0444,0,239640,9,1961,2/16/1961,The Party's Over - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.586,0.0694,0.226,74.379,-24.866,1,3,0.862,0.902,0.124,0.0362,0,181827,9,1959,10/11/1959,Seleritus,Jazz
['Ahmad Jamal'],[127369],0.598,0.0785,0.21,82.971,-24.937,1,10,0.761,0.764,0.683,0.0494,0,240347,8,1961,2/16/1961,Sweet And Lovely - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.663,0.185,0.66,81.906,-19.692,1,5,0.852,0.87,0.0963,0.0456,0,132080,10,1959,10/11/1959,Comme Ci Comme Ca,Jazz
['Ahmad Jamal'],[127369],0.666,0.0836,0.141,123.485,-22.696,1,0,0.555,0.302,0.868,0.0434,0,268213,8,1961,2/16/1961,Isn't It Romantic - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.551,0.0607,0.0838,69.038,-20.88,1,0,0.875,0.785,0.344,0.0316,0,252693,9,1959,10/11/1959,Sophisticated Gentlemen,Jazz
['Ahmad Jamal'],[127369],0.437,0.0425,0.155,73.236,-25.502,1,7,0.908,0.673,0.662,0.065,0,238827,7,1961,2/16/1961,Willow Weep For Me - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.424,0.0232,0.348,116.926,-34.839,0,5,0.741,0.906,0.607,0.04,0,150280,7,1961,2/16/1961,Snowfall - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.378,0.432,0.645,153.712,-20.726,1,0,0.457,0.838,0.0832,0.033,0,392227,29,1985,7/17/1985,Theme from Mash,Jazz
['Ahmad Jamal'],[127369],0.636,0.135,0.674,140.205,-21.287,0,5,0.799,0.888,0.102,0.0375,0,189453,7,1959,10/11/1959,Never Never Land,Jazz
['Ahmad Jamal'],[127369],0.578,0.103,0.389,92.099,-27.863,1,0,0.414,0.9,0.764,0.0529,0,142800,7,1961,2/16/1961,The Breeze And I - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.548,0.186,0.354,140.128,-22.696,1,0,0.172,0.265,0.676,0.0391,0,461587,7,1961,2/16/1961,Broadway - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.372,0.155,0.428,76.254,-23.564,0,11,0.485,0.645,0.701,0.0721,0,232387,7,1961,2/16/1961,Autumn Leaves - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.564,0.197,0.407,132.016,-18.321,0,10,0.373,0.132,0.743,0.0374,0,663373,8,1962,3/1/1962,You Go To My Head - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.574,0.154,0.355,107.404,-19.499,0,11,0.538,0.844,0.721,0.0451,0,380227,8,1962,3/1/1962,Time On My ***** - Live At The *************,Jazz
['Ahmad Jamal'],[127369],0.553,0.0902,0.289,89.369,-21.491,1,2,0.984,0.91,0.1,0.043,0,273760,50,1951,1951,Poinciana,Jazz
['Ahmad Jamal'],[127369],0.508,0.15,0.252,173.36,-20.844,1,5,0.99,0.899,0.144,0.0418,0,174000,45,1951,1951,Ahmad's *****,Jazz
['Ahmad Jamal'],[127369],0.621,0.0564,0.222,121.241,-20.148,0,7,0.99,0.778,0.137,0.0486,0,223067,29,1951,1951,Old Devil Moon,Jazz
['Ahmad Jamal'],[127369],0.662,0.349,0.54,108.219,-16.309,1,0,0.991,0.919,0.109,0.0511,0,158333,29,1951,1951,Billy Boy,Jazz
['Ahmad Jamal'],[127369],0.628,0.139,0.629,97.071,-19.457,1,5,0.985,0.845,0.128,0.0376,0,264533,28,1951,1951,Pavanne,Jazz
['Ahmad Jamal'],[127369],0.529,0.0728,0.41,80.109,-24.226,0,2,0.989,0.933,0.131,0.045,0,162040,29,1951,1951,Will You Still Be Mine,Jazz
['Ahmad Jamal'],[127369],0.645,0.112,0.759,113.075,-21.551,1,0,0.992,0.911,0.121,0.0418,0,169733,24,1951,1951,The Surrey With The Fringe On Top,Jazz
['Ahmad Jamal'],[127369],0.467,0.0741,0.117,68.563,-20.868,1,0,0.987,0.799,0.0957,0.0568,0,296893,24,1951,1951,Crazy He ***** Me,Jazz
['Ahmad Jamal'],[127369],0.51,0.121,0.245,75.637,-22.331,1,3,0.994,0.913,0.173,0.0372,0,185667,23,1951,1951,Aki And Ukthay,Jazz
['Ahmad Jamal'],[127369],0.659,0.219,0.569,82.669,-16.49,1,8,0.98,0.894,0.108,0.0434,0,177120,25,1951,1951,They Can't Take That Away from Me,Jazz
['Ahmad Jamal'],[127369],0.542,0.331,0.714,102.678,-17.261,1,5,0.98,0.899,0.104,0.0407,0,154827,22,1951,1951,A **** In Calico,Jazz
['Ahmad Jamal'],[127369],0.69,0.164,0.579,80.1,-18.657,0,5,0.991,0.886,0.129,0.0451,0,174573,22,1951,1951,It's Easy To Remember,Jazz
['Ahmad Jamal'],[127369],0.567,0.125,0.183,75.996,-15.631,1,10,0.972,0.901,0.0946,0.0593,0,205413,19,1951,1951,Black Beauty,Jazz
['Ahmad Jamal'],[127369],0.664,0.188,0.425,79.936,-16.44,1,2,0.958,0.901,0.0926,0.0663,0,234693,19,1951,1951,Perfidia,Jazz
['Ahmad Jamal'],[127369],0.693,0.27,0.705,143.991,-16.112,0,7,0.889,0.895,0.098,0.0489,0,159720,17,1951,1951,Autumn Leaves,Jazz
['Ahmad Jamal'],[127369],0.781,0.139,0.331,116.013,-18.382,1,5,0.981,0.895,0.113,0.0442,0,173987,14,1951,1951,Ahmad's *****,Jazz
['Ahmad Jamal'],[127369],0.524,0.0877,0.117,79.894,-21.657,1,0,0.982,0.891,0.129,0.0394,0,183067,38,1960,1/7/1960,I'll Never Stop Loving You,Jazz
['Ahmad Jamal'],[127369],0.528,0.132,0.268,89.915,-18.997,1,2,0.963,0.897,0.111,0.0456,0,273227,14,1951,1951,Poinciana,Jazz
['Ahmad Jamal'],[127369],0.677,0.138,0.689,113.033,-20.167,1,0,0.979,0.912,0.108,0.0453,0,169520,13,1951,1951,The Surrey With The Fringe On Top,Jazz
['Ahmad Jamal'],[127369],0.551,0.263,0.611,88.055,-15.192,0,5,0.965,0.884,0.114,0.0482,0,510267,12,1951,1951,Love For Sale,Jazz
['Ahmad Jamal'],[127369],0.539,0.328,0.772,101.886,-15.057,1,5,0.947,0.887,0.126,0.0414,0,154147,11,1951,1951,A **** In Calico,Jazz
['Ahmad Jamal'],[127369],0.655,0.157,0.406,83.572,-17.057,0,5,0.969,0.887,0.112,0.0622,0,166827,11,1951,1951,********* To Remember You By,Jazz
['Ahmad Jamal'],[127369],0.568,0.0817,0.372,80.918,-23.014,0,7,0.974,0.935,0.12,0.0445,0,161947,11,1951,1951,Will You Still Be Mine,Jazz
['Ahmad Jamal'],[127369],0.645,0.313,0.685,108.368,-14.568,1,0,0.98,0.927,0.105,0.0492,0,158493,10,1951,1951,Billy Boy,Jazz
['Ahmad Jamal'],[127369],0.68,0.217,0.35,110.391,-14.248,1,0,0.966,0.825,0.0828,0.051,0,200347,10,1951,1951,Don't Blame Me,Jazz
['Ahmad Jamal'],[127369],0.541,0.121,0.279,76.082,-20.676,1,3,0.993,0.941,0.142,0.0375,0,185560,10,1951,1951,Aki And Ukthay,Jazz
['Ahmad Jamal'],[127369],0.674,0.0817,0.408,124.677,-18.298,1,0,0.979,0.842,0.139,0.0462,0,229347,9,1951,1951,Squeeze Me,Jazz
['Ahmad Jamal'],[127369],0.637,0.0927,0.252,124.914,-17.486,0,7,0.984,0.833,0.145,0.0461,0,222640,9,1951,1951,Old Devil Moon,Jazz
['Ahmad Jamal'],[127369],0.523,0.156,0.219,84.687,-15.157,0,9,0.95,0.845,0.149,0.0645,0,180280,22,1955,1/1/1955,It Ain't Necessarily So,Jazz
['Ahmad Jamal'],[127369],0.594,0.225,0.352,79.695,-13.256,0,3,0.973,0.902,0.203,0.0625,0,190573,21,1955,1/1/1955,Darn That Dream,Jazz
['Ahmad Jamal'],[127369],0.498,0.221,0.483,165.945,-14.081,0,2,0.974,0.888,0.118,0.06,0,279307,20,1955,1/1/1955,New Rhumba,Jazz
['Ahmad Jamal'],[127369],0.658,0.245,0.495,69.781,-13.583,1,0,0.901,0.748,0.104,0.0508,0,195453,22,1955,1/1/1955,All Of You,Jazz
['Ahmad Jamal'],[127369],0.724,0.203,0.405,135.144,-13.794,1,10,0.838,0.784,0.123,0.039,0,200987,35,1960,1/7/1960,Easy To Love,Jazz
['Ahmad Jamal'],[127369],0.595,0.107,0.111,72.243,-17.761,1,1,0.98,0.901,0.108,0.0475,0,295120,8,1951,1951,Crazy He ***** Me,Jazz
['Ahmad Jamal'],[127369],0.589,0.185,0.522,97.154,-16.605,1,5,0.973,0.874,0.114,0.0379,0,264187,8,1951,1951,Pavanne,Jazz
['Ahmad Jamal'],[127369],0.681,0.218,0.507,80.588,-15.817,0,5,0.987,0.895,0.102,0.0455,0,174107,9,1951,1951,It's Easy To Remember,Jazz
['Ahmad Jamal'],[127369],0.625,0.268,0.528,98.916,-15.606,1,8,0.982,0.881,0.132,0.0579,0,198547,8,1951,1951,The Donkey ********,Jazz
['Ahmad Jamal'],[127369],0.682,0.483,0.685,131.519,-12.515,0,2,0.142,0.0622,0.0962,0.0562,0,228933,8,1951,1951,Rica Pulpa,Jazz
['Ahmad Jamal'],[127369],0.513,0.346,0.615,122.204,-13.836,0,5,0.96,0.873,0.116,0.0414,0,290253,19,1955,1/1/1955,I Get A Kick Out Of You,Jazz
['Ahmad Jamal'],[127369],0.547,0.0802,0.183,80.868,-17.27,1,2,0.986,0.39,0.141,0.0428,0,263227,18,1955,1/1/1955,A Foggy Day,Jazz
['Ahmad Jamal'],[127369],0.571,0.058,0.177,85.966,-17.812,0,2,0.991,0.933,0.116,0.0538,0,292840,15,1955,1/1/1955,Jeff,Jazz
['Ahmad Jamal'],[127369],0.635,0.198,0.538,139.437,-14.229,1,0,0.974,0.885,0.136,0.0412,0,206027,16,1955,1/1/1955,I Don't Wanna Be Kissed,Jazz
['Ahmad Jamal'],[127369],0.517,0.216,0.113,117.655,-13.913,1,0,0.99,0.914,0.103,0.0414,0,241893,13,1955,1/1/1955,Spring Is Here,Jazz
['Ahmad Jamal'],[127369],0.616,0.105,0.313,84.261,-21.354,1,5,0.698,0.822,0.156,0.0348,0,261640,28,1959,10/11/1959,Ahmad's *****,Jazz
['Ahmad Jamal'],[127369],0.622,0.235,0.487,125.7,-13.29,1,0,0.881,0.884,0.118,0.0347,0,316533,20,1960,1/7/1960,Little Old Lady,Jazz
['Ahmad Jamal'],[127369],0.597,0.126,0.203,79.611,-20.31,1,0,0.932,0.922,0.17,0.0359,0,167693,20,1960,1/7/1960,For All We Know,Jazz
['Ahmad Jamal'],[127369],0.494,0.299,0.896,119.734,-15.808,1,3,0.754,0.709,0.0498,0.0339,0,295880,19,1960,1/7/1960,Speak Low,Jazz
['Ahmad Jamal'],[127369],0.648,0.277,0.607,107.462,-15.763,1,5,0.839,0.851,0.0834,0.0319,0,347453,15,1960,1/7/1960,Pavanne,Jazz
['Ahmad Jamal'],[127369],0.311,0.274,0.0648,166.925,-25.008,0,4,0.669,0.932,0.114,0.0407,0,248760,38,1987,10/15/1987,Swahililand,Jazz
['Ahmad Jamal'],[127369],0.685,0.127,0.482,62.103,-14.578,0,9,0.913,0.9,0.171,0.0467,0,96987,13,1960,1/7/1960,Time On My *****,Jazz
['Ahmad Jamal'],[127369],0.623,0.217,0.54,100.421,-15.607,1,0,0.886,0.85,0.126,0.0452,0,184293,14,1960,1/7/1960,Excerpts From The *****,Jazz
['Ahmad Jamal'],[127369],0.485,0.145,0.506,175.513,-22.172,0,10,0.679,0.882,0.679,0.0408,0,242573,15,1961,2/16/1961,Love For Sale - Live At The *************,Jazz
['Al Di Meola'],[600228],0.316,0.772,0.66,88.648,-11.605,0,11,0.139,0.532,0.238,0.0649,0,378267,31,1977,1977,Race With Devil On Spanish Highway,Jazz
['Al Di Meola'],[600228],0.328,0.698,0.423,149.919,-11.7,0,1,0.151,0.188,0.0671,0.0465,0,436600,31,1977,1977,Flight Over Rio,Jazz
['Al Di Meola'],[600228],0.355,0.614,0.413,175.19,-12.758,1,5,0.203,0.219,0.0561,0.0796,0,448600,28,1977,1977,******** Tango,Jazz
['Al Di Meola'],[600228],0.475,0.654,0.692,99.132,-11.139,1,9,0.11,0.469,0.068,0.0339,0,556427,27,1977,1977,Elegant Gypsy Suite,Jazz
['Al Di Meola'],[600228],0.42,0.346,0.553,90.802,-19.334,0,4,0.794,0.836,0.259,0.0312,0,312027,43,1977,1977,Mediterranean Sundance,Jazz
['Al Hirt'],[507975],0.29,0.32,0.321,113.602,-12.126,1,10,0.357,0.872,0.358,0.0331,0,158107,30,1968,1968,Spanish Eyes,Jazz
['Al Hirt'],[507975],0.261,0.307,0.265,95.875,-14.572,1,3,0.578,0.885,0.111,0.0321,0,159880,30,1968,1968,The World We Knew (Over and Over),Jazz
['Al Hirt'],[507975],0.435,0.417,0.323,64.521,-9.085,1,0,0.951,0.595,0.108,0.0378,0,164360,15,1963,1963,I Can't Get Started,Jazz
['Al Hirt'],[507975],0.619,0.585,0.723,165.08,-10.682,1,0,0.185,0.714,0.144,0.0444,0,120573,17,1964,6/13/1964,Sugar Lips,Jazz
['Al Hirt'],[507975],0.39,0.246,0.193,99.446,-10.891,1,5,0.849,0.942,0.209,0.0281,0,139093,16,1963,1963,Al Di Là,Jazz
['Al Hirt'],[507975],0.454,0.7,0.836,83.659,-10.778,1,10,0.686,0.976,0.289,0.0384,0,146000,14,1964,1964,Bugler's Holiday,Jazz
['Al Hirt'],[507975],0.278,0.284,0.472,90.122,-13.413,1,7,0.527,0.862,0.0982,0.03,0,161760,24,1968,1968,Strangers In the *****,Jazz
['Al Hirt'],[507975],0.337,0.402,0.416,87.831,-9.77,0,0,0.947,0.687,0.139,0.0347,0,158467,13,1963,1963,Fly Me to the Moon,Jazz
['Al Hirt'],[507975],0.33,0.455,0.34,86.702,-10.318,1,5,0.88,0.309,0.169,0.04,0,175933,11,1963,1963,Man with a Horn,Jazz
['Al Hirt'],[507975],0.606,0.737,0.967,92.718,-9.646,1,7,0.582,0.957,0.0521,0.0318,0,116840,34,1963,1963,Java,Jazz
['Al Hirt'],[507975],0.675,0.671,0.966,148.156,-11.626,1,3,0.394,0.941,0.114,0.0471,0,134200,25,1964,6/13/1964,Cotton Candy,Jazz
['Al Hirt'],[507975],0.419,0.789,0.843,173.856,-7.181,1,5,0.713,0.896,0.113,0.0508,0,138787,34,1966,1966,"Green Hornet Theme - From the ************* Century-Fox TV Series ""The Green Hornet""",Jazz
['Al Hirt'],[507975],0.491,0.359,0.408,182.353,-10.174,0,4,0.336,0.616,0.126,0.0298,0,159200,32,1967,8/21/1967,Harlem Hendoo,Jazz
['Albert Ayler'],[614339],0.341,0.708,0.736,86.64,-10.464,1,10,0.354,0.749,0.355,0.101,0,169173,22,1967,8/31/1967,Ghosts,Jazz
['Alex Bugnon'],[515790],0.542,0.45,0.641,148.781,-12.752,0,2,0.428,0.0394,0.274,0.05,0,322000,31,1991,9/10/1991,*** In the Shade,Jazz
['Alex Bugnon'],[515790],0.665,0.661,0.378,97.906,-7.154,1,5,0.0898,0.802,0.125,0.0528,0,259240,39,2001,1/1/2001,Around ***** AM,Jazz
['Alex Bugnon'],[515790],0.632,0.613,0.647,90.378,-11.446,1,2,0.242,0.0451,0.0875,0.031,0,357200,25,1989,1/1/1989,Yearning For Your Love,Jazz
['Alex Bugnon'],[515790],0.455,0.576,0.593,74.95,-10.352,1,8,0.165,0.178,0.244,0.0321,0,376267,24,1989,1/1/1989,Love Season,Jazz
['Alex Bugnon'],[515790],0.743,0.428,0.904,90.234,-11.526,0,4,0.244,0.754,0.0829,0.0307,0,324133,48,2000,1/1/2000,His Coolness,Jazz
['Alice Coltrane'],[6143],0.431,0.144,0.273,96.84,-24.103,0,5,0.915,0.551,0.11,0.0418,0,271840,30,1969,1/1/1969,Paramahansa Lake,Jazz
['Alice Coltrane'],[6143],0.351,0.0225,0.0994,80.9,-30.405,0,4,0.981,0.828,0.082,0.0423,0,190067,31,1976,1976,Wisdom Eye,Jazz
['Alice Coltrane'],[6143],0.367,0.378,0.264,116.689,-14.475,1,2,0.554,7.8e-06,0.0819,0.0536,0,454227,19,1968,1968,Lord Help Me To Be,Jazz
['Alice Coltrane'],[6143],0.549,0.391,0.672,116.755,-15.657,0,9,0.738,7.67e-05,0.142,0.05,0,331173,26,1969,1/1/1969,Huntington Ashram Monastery,Jazz
['Alice Coltrane'],[6143],0.175,0.35,0.314,95.204,-9.744,1,4,0.92,0.755,0.155,0.0287,0,176987,29,1976,1976,Spiritual Eternal,Jazz
['Alice Coltrane'],[6143],0.288,0.289,0.305,94.9,-17.915,1,4,0.763,1.07e-05,0.23,0.0336,0,244907,18,1968,1968,The Sun,Jazz
